grade,relative_age,count
4.0,5.0,0.08758320589256559
4.0,8.0,0.08709560643335772
4.0,6.0,0.08665972206830826
4.0,7.0,0.08582489269117963
4.0,10.0,0.08538900832613015
4.0,2.0,0.0846502212667243
4.0,9.0,0.08449507598424906
4.0,11.0,0.0832021986302888
4.0,4.0,0.08131090375820978
4.0,0.0,0.07966340861573469
4.0,3.0,0.0788729064621704
4.0,1.0,0.07525284987108166
5.0,6.0,0.08670057178134141
5.0,7.0,0.0866344274102274
5.0,5.0,0.08653153616627225
5.0,10.0,0.08636250055120309
5.0,8.0,0.08573780371290403
5.0,9.0,0.08535563623535637
5.0,2.0,0.08452515690914703
5.0,11.0,0.08232769391324798
5.0,4.0,0.08205576705422368
5.0,0.0,0.08165890082753957
5.0,1.0,0.07642614613496392
5.0,3.0,0.07568385930357327
6.0,6.0,0.08753254266705236
6.0,8.0,0.08701909169800405
6.0,7.0,0.08684553080705815
6.0,10.0,0.08656349435927105
6.0,2.0,0.08576800694243564
6.0,9.0,0.08545704367949089
6.0,5.0,0.08407578825571305
6.0,4.0,0.08275238646225051
6.0,11.0,0.08179056985825861
6.0,0.0,0.08098061903384438
6.0,1.0,0.07604136534567545
6.0,3.0,0.0751735608909459
7.0,8.0,0.0887121097873624
7.0,6.0,0.08752827627808776
7.0,7.0,0.08730960639420902
7.0,10.0,0.0869853717388026
7.0,2.0,0.0854094405067109
7.0,5.0,0.08433871210978736
7.0,9.0,0.08345649223344895
7.0,0.0,0.08146584225606997
7.0,4.0,0.08122455134972101
7.0,11.0,0.08083999396772734
7.0,1.0,0.07690393605790982
7.0,3.0,0.07582566732016287
8.0,8.0,0.09026628777480171
8.0,7.0,0.08770654182031325
8.0,6.0,0.08762492673190928
8.0,10.0,0.08702394289911633
8.0,2.0,0.08542131934500181
8.0,5.0,0.0847906572982438
8.0,9.0,0.08208252027392991
8.0,4.0,0.08077667885946624
8.0,11.0,0.0806357073431321
8.0,0.0,0.07990117154749628
8.0,3.0,0.07756401219774595
8.0,1.0,0.07620623390884336
9.0,8.0,0.08934563149103057
9.0,6.0,0.08838695620596994
9.0,7.0,0.08835064274820248
9.0,5.0,0.08641876679497422
9.0,10.0,0.08583775147069504
9.0,2.0,0.08498075386738325
9.0,4.0,0.08109521388626625
9.0,9.0,0.0809209092889825
9.0,0.0,0.08044883433800566
9.0,11.0,0.07990413247149393
9.0,3.0,0.07831360302127968
9.0,1.0,0.07599680441571646
